Country,UNESCO World Heritage List,Category,Paul,Ruth,Ben,Shaz,Description,Justification,Date Inscribed,Unique Number,ID Number
Algeria,Kasbah of Algiers,Cultural,N,N,N,N,"<p>The Kasbah is a unique kind of medina, or Islamic city. It stands in one of the finest coastal sites on the Mediterranean, overlooking the islands where a Carthaginian trading-post was established in the 4th century BC. There are the remains of the citadel, old mosques and Ottoman-style palaces as well as the remains of a traditional urban structure associated with a deep-rooted sense of community.</p>",,1992,667,565
Andorra,Madriu-Perafita-Claror Valley,Cultural,N,N,N,N,"<p>The cultural landscape of Madriu-Perafita-Claror Valley offers a microcosmic perspective of the way people have harvested the resources of the high Pyrenees over millennia. Its dramatic glacial landscapes of craggy cliffs and glaciers, with high open pastures and steep wooded valleys, covers an area of 4,247 ha, 9% of the total area of the principality. It reflects past changes in climate, economic fortune and social systems, as well as the persistence of pastoralism and a strong mountain culture, notably the survival of a communal land-ownership system dating back to the 13th century. The site features houses, notably summer settlements, terraced fields, stone tracks and evidence of iron smelting.</p>",<p><em>Criterion (v):</em> The Madriu-Perafita-Claror Valley is a microcosm of the way its inhabitants have harvested the scarce resources of the high Pyrenees over the past millennia to create a sustainable living environment in harmony with the mountain landscape. The Valley is a reflection of an ancient communal system of land management that has survived for over 700 years.</p>,2004,1487,1160
Angola,"Mbanza Kongo, Vestiges of the Capital of the former Kingdom of Kongo",Cultural,N,N,N,N,"<p>The town of Mbanza Kongo, located on a plateau at an altitude of 570 metres, was the political and spiritual capital of the Kingdom of Kongo, one of the largest constituted states in Southern Africa from the 14<sup>th</sup>†to 19<sup>th</sup>centuries. The historical area grew around the royal residence, the customary court and the holy tree, as well as the royal funeral places. When the Portuguese arrived in the 15<sup>th</sup>†century they added stone buildings constructed in accordance with European methods to the existing urban conurbation built in local materials. Mbanza Kongo illustrates, more than anywhere in sub-Saharan Africa, the profound changes caused by the introduction of Christianity and the arrival of the Portuguese into Central Africa.</p>",,2017,2128,1511
Antigua and Barbuda,Antigua Naval Dockyard and Related Archaeological Sites,Cultural,N,N,N,N,"<p>The site consists of a group of Georgian-style naval buildings and structures, set within a walled enclosure. The natural environment of this side of the island of Antigua, with its deep, narrow bays surrounded by highlands, offered shelter from hurricanes and was ideal for repairing ships. The construction of the Dockyard by the British navy would not have been possible without the labour of generations of enslaved Africans since the end of the 18th century. Its aim was to protect the interests of sugar cane planters at a time when European powers were competing for control of the Eastern Caribbean.</p>	",,2016,2086,1499
Argentina,Los Glaciares National Park,Natural,Y,Y,N,N,"<p>The Los Glaciares National Park is an area of exceptional natural beauty, with rugged, towering mountains and numerous glacial lakes, including Lake Argentino, which is 160 km long. At its farthest end, three glaciers meet to dump their effluvia into the milky grey glacial water, launching massive igloo icebergs into the lake with thunderous splashes.</p>",,1981,160,145
Argentina,Iguazu National Park,Natural,Y,Y,Y,Y,"<p>The semicircular waterfall at the heart of this site is some 80 m high and 2,700 m in diameter and is situated on a basaltic line spanning the border between Argentina and Brazil. Made up of many cascades producing vast sprays of water, it is one of the most spectacular waterfalls in the world. The surrounding subtropical rainforest has over 2,000 species of vascular plants and is home to the typical wildlife of the region: tapirs, giant anteaters, howler monkeys, ocelots, jaguars and caymans.</p>",,1984,340,303
Argentina,"Cueva de las Manos, RÌo Pinturas",Cultural,N,N,N,N,"<p>The Cueva de las Manos, R&iacute;o Pinturas, contains an exceptional assemblage of cave art, executed between 13,000 and 9,500 years ago. It takes its name (Cave of the Hands) from the stencilled outlines of human hands in the cave, but there are also many depictions of animals, such as guanacos (<em>Lama guanicoe</em> ), still commonly found in the region, as well as hunting scenes. The people responsible for the paintings may have been the ancestors of the historic hunter-gatherer communities of Patagonia found by European settlers in the 19th century.</p>",<p><em>Criterion (iii):</em> The Cueva de las Manos contains an outstanding collection of prehistoric rock art which bears witness to the culture of the earliest human societies in South America.</p>,1999,1091,936
Argentina,PenÌnsula ValdÈs,Natural,N,N,N,N,<p>Pen&iacute;nsula Vald&eacute;s in Patagonia is a site of global significance for the conservation of marine mammals. It is home to an important breeding population of the endangered southern right whale as well as important breeding populations of southern elephant seals and southern sea lions. The orcas in this area have developed a unique hunting strategy to adapt to local coastal conditions.</p>,"<p><em>Criterion (x):</em> Peninsula Vald&eacute;s contains very important and significant natural habitats for the in-situ conservation of several threatened species of outstanding universal value, and specifically its globally important concentration of breeding southern right whales, which is an endangered species. It is also important because of the breeding populations of southern elephant seals and southern sea lions. The area exhibits an exceptional example of adaptation of hunting techniques by the orca to the local coastal conditions.</p>",1999,1092,937
Argentina,Ischigualasto / Talampaya Natural Parks,Natural,N,N,N,N,"<p>These two contiguous parks, extending over 275,300 ha in the desert region on the western border of the Sierra Pampeanas of central Argentina, contain the most complete continental fossil record known from the Triassic Period (245-208 million years ago). Six geological formations in the parks contain fossils of a wide range of ancestors of mammals, dinosaurs and plants revealing the evolution of vertebrates and the nature of palaeo-environments in the Triassic Period.</p>",<p><em>Criterion (viii):</em> The site contains a complete sequence of fossiliferous continental sediments representing the entire Triassic Period (45 million years) of geological history. No other place in the world has a fossil record comparable to that of Ischigualasto-Talampaya which reveals the evolution of vertebrate life and the nature of palaeoenvironments in the Triassic Period.</p>,2000,1130,966
Argentina,Jesuit Block and Estancias of CÛrdoba,Cultural,N,N,N,N,"<p>The Jesuit Block in C&oacute;rdoba, heart of the former Jesuit Province of Paraguay, contains the core buildings of the Jesuit system: the university, the church and residence of the Society of Jesus, and the college. Along with the five estancias, or farming estates, they contain religious and secular buildings, which illustrate the unique religious, social, and economic experiment carried out in the world for a period of over 150 years in the 17th and 18th centuries.</p>","<p><em>Criterion (ii):</em> The Jesuit buildings and ensembles of C&oacute;rdoba and the estancias are exceptional examples of the fusion of European and indigenous values and cultures during a seminal period in South America.</p>

<p><em>Criterion (iv):</em> The religious, social, and economic experiment carried out in South America for over 150 years by the Society of Jesus produced a unique form of material expression, which is illustrated by the Jesuit buildings and ensembles of C&oacute;rdoba and the estancias.</p>",2000,1159,995
Argentina,Quebrada de Humahuaca,Cultural,Y,Y,N,N,"<p>Quebrada de Humahuaca follows the line of a major cultural route, the Camino Inca, along the spectacular valley of the Rio Grande, from its source in the cold high desert plateau of the High Andean lands to its confluence with the Rio Leone some 150 km to the south. The valley shows substantial evidence of its use as a major trade route over the past 10,000 years. It features visible traces of prehistoric hunter-gatherer communities, of the Inca Empire (15th to 16th centuries) and of the fight for independence in the 19th and 20th centuries.</p>","<p><em>Criterion (ii):</em> The Quebrada de Humahuaca valley has been used over the past 10,000 years as a crucial passage for the transport of people and ideas from the high Andean lands to the plains.</p>

<p><em>Criteria (iv) and (v):</em> The Quebrada de Humahuaca valley reflects the way its strategic position has engendered settlement, agriculture and trade. Its distinctive pre-Hispanic and pre-Incan settlements, as a group with their associated field systems, form a dramatic addition to the landscape and one that can certainly be called outstanding.</p>",2003,1295,1116
Argentina,Los Alerces National Park,Natural,N,N,N,N,"<p>The Los Alerces National park is located in the Andes of northern Patagonia and has a western boundary, which coincides with the Chilean border. Successive glaciations have moulded the landscape in the region creating spectacular features such as moraines, glacial cirques and clear-water lakes. The vegetation is dominated by dense temperate forests, which give way to alpine meadows higher up under the rocky Andean peaks. The property is vital for the protection of some of the last portions of continuous Patagonian Forest in an almost pristine state and is the habitat for a number of endemic and threatened species of flora and fauna.</p>",,2017,2172,1526
Armenia,Monasteries of Haghpat and Sanahin,Cultural,N,N,Y,Y,"<p>These two Byzantine monasteries in the Tumanian region from the period of prosperity during the Kiurikian dynasty (10th to 13th century) were important centres of learning. Sanahin was renown for its school of illuminators and calligraphers. The two monastic complexes represent the highest flowering of Armenian religious architecture, whose unique style developed from a blending of elements of Byzantine ecclesiastical architecture and the traditional vernacular architecture of the Caucasian region.</p>",<p>The Committee decided to inscribe the Monastery of Haghpat on the basis of cultural <em>criteria (ii) and (iv)</em> considering that it is of outstanding universal value and an exceptional example of ecclesiastical architecture that developed in Armenia in the 10th to 13th centuries which is unique by virtue of its blending of elements of both Byzantine church architecture and the traditional vernacular building style of this region.</p>,1996,920,777
Armenia,Monastery of Geghard and the Upper Azat Valley,Cultural,N,N,Y,Y,"<p>The monastery of Geghard contains a number of churches and tombs, most of them cut into the rock, which illustrate the very peak of Armenian medieval architecture. The complex of medieval buildings is set into a landscape of great natural beauty, surrounded by towering cliffs at the entrance to the Azat Valley.</p>","<p><em>Criterion (ii):</em> The monastery of Geghard, with its remarkable rock-cut churches and tombs, is an exceptionally well preserved and complete example of medieval Armenian monastic architecture and decorative art, with many innovatory features which had a profound influence on subsequent developments in the region.</p>",2000,1124,960
Armenia,Cathedral and Churches of Echmiatsin and the Archaeological Site of Zvartnots,Cultural,N,N,Y,Y,"<p>The cathedral and churches of Echmiatsin and the archaeological remains at Zvartnots graphically illustrate the evolution and development of the Armenian central-domed cross-hall type of church, which exerted a profound influence on architectural and artistic development in the region.</p>","<p><em>Criterion (ii):</em> The developments in ecclesiastical architecture represented in an outstanding manner by the churches at Echmiatsin and the archaeological site of Zvartnots had a profound influence on church design over a wide region.</p>

<p><em>Criterion (iii):</em> The churches at Echmiatsin and the archaeological site of Zvartnots vividly depict both the spirituality and the innovatory artistic achievement of the Armenian Church from its foundation.</p>",2000,1181,1011
Australia,Kakadu National Park,Mixed,N,N,N,N,"<p>This unique archaeological and ethnological reserve, located in the Northern Territory, has been inhabited continuously for more than 40,000 years. The cave paintings, rock carvings and archaeological sites record the skills and way of life of the region&rsquo;s inhabitants, from the hunter-gatherers of prehistoric times to the Aboriginal people still living there. It is a unique example of a complex of ecosystems, including tidal flats, floodplains, lowlands and plateaux, and provides a habitat for a wide range of rare or endemic species of plants and animals.</p>",,1981,1872,147
Australia,Great Barrier Reef,Natural,Y,Y,N,N,"<p>The Great Barrier Reef is a site of remarkable variety and beauty on the north-east coast of Australia. It contains the world&rsquo;s largest collection of coral reefs, with 400 types of coral, 1,500 species of fish and 4,000 types of mollusc. It also holds great scientific interest as the habitat of species such as the dugong (&lsquo;sea cow&rsquo;) and the large green turtle, which are threatened with extinction.</p>",,1981,172,154
Australia,Sydney Opera House,Cultural,Y,Y,N,N,"<p>Inaugurated in 1973, the Sydney Opera House is a great architectural work of the 20th century that brings together multiple strands of creativity and innovation in both architectural form and structural design. A great urban sculpture set in a remarkable waterscape, at the tip of a peninsula projecting into Sydney Harbour, the building has had an enduring influence on architecture. The Sydney Opera House comprises three groups of interlocking vaulted &lsquo;shells&rsquo; which roof two main performance halls and a restaurant. These shell-structures are set upon a vast platform and are surrounded by terrace areas that function as pedestrian concourses. In 1957, when the project of the Sydney Opera House was awarded by an international jury to Danish architect J&oslash;rn Utzon, it marked a radically new approach to construction.</p>",,2007,1457,166
Australia,Willandra Lakes Region,Mixed,N,N,N,N,"<p>The fossil remains of a series of lakes and sand formations that date from the Pleistocene can be found in this region, together with archaeological evidence of human occupation dating from 45&ndash;60,000 years ago. It is a unique landmark in the study of human evolution on the Australian continent. Several well-preserved fossils of giant marsupials have also been found here.</p>",,1981,185,167
Australia,Tasmanian Wilderness,Mixed,Y,Y,N,N,"<p>In a region that has been subjected to severe glaciation, these parks and reserves, with their steep gorges, covering an area of over 1 million ha, constitute one of the last expanses of temperate rainforest in the world. Remains found in limestone caves attest to the human occupation of the area for more than 20,000 years.</p>",,1982,1950,181
Australia,Lord Howe Island Group,Natural,N,N,N,N,"<p>A remarkable example of isolated oceanic islands, born of volcanic activity more than 2,000 m under the sea, these islands boast a spectacular topography and are home to numerous endemic species, especially birds.</p>",,1982,206,186
Australia,Gondwana Rainforests of Australia,Natural,N,N,N,N,"<p>This site, comprising several protected areas, is situated predominantly along the Great Escarpment on Australia&rsquo;s east coast. The outstanding geological features displayed around shield volcanic craters and the high number of rare and threatened rainforest species are of international significance for science and conservation.</p>",,1986,422,368
Australia,Uluru-Kata Tjuta National Park,Mixed,Y,Y,N,N,"<p>This park, formerly called Uluru (Ayers Rock &ndash; Mount Olga) National Park, features spectacular geological formations that dominate the vast red sandy plain of central Australia. Uluru, an immense monolith, and Kata Tjuta, the rock domes located west of Uluru, form part of the traditional belief system of one of the oldest human societies in the world. The traditional owners of Uluru-Kata Tjuta are the Anangu Aboriginal people.</p>",,1987,519,447
Australia,Wet Tropics of Queensland,Natural,Y,Y,N,N,"<p>This area, which stretches along the north-east coast of Australia for some 450 km, is made up largely of tropical rainforests. This biotope offers a particularly extensive and varied array of plants, as well as marsupials and singing birds, along with other rare and endangered animals and plant species.</p>",,1988,565,486
Australia,Heard and McDonald Islands,Natural,N,N,N,N,"<p>Heard Island and McDonald Islands are located in the Southern Ocean, approximately 1,700 km from the Antarctic continent and 4,100 km south-west of Perth. As the only volcanically active subantarctic islands they &lsquo;open a window into the earth&rsquo;, thus providing the opportunity to observe ongoing geomorphic processes and glacial dynamics. The distinctive conservation value of Heard and McDonald &ndash; one of the world&rsquo;s rare pristine island ecosystems &ndash; lies in the complete absence of alien plants and animals, as well as human impact.</p>","<p>The Committee inscribed this property under <em>criteria (viii) </em>and <em>(ix)</em>. It noted that this site is the only volcanically active sub-Antarctic island and illustrates ongoing geomorphic processes and glacial dynamics in the coastal and submarine environment and sub-Antarctic flora and fauna, with no record of alien species. The Committee repeated its request by the sixteenth session for further documentation on the marine resources of the site.</p>",1997,683,577
Australia,"Shark Bay, Western Australia",Natural,N,N,N,N,"<p>At the most westerly point of the Australian continent, Shark Bay, with its islands and the land surrounding it, has three exceptional natural features: its vast sea-grass beds, which are the largest (4,800 km2) and richest in the world; its dugong (&lsquo;sea cow&rsquo;) population; and its stromatolites (colonies of algae which form hard, dome-shaped deposits and are among the oldest forms of life on earth). Shark Bay is also home to five species of endangered mammals.</p>",,1991,684,578
Australia,Macquarie Island,Natural,N,N,N,N,"<p>Macquarie Island (34 km long x 5 km wide) is an oceanic island in the Southern Ocean, lying 1,500 km south-east of Tasmania and approximately halfway between Australia and the Antarctic continent. The island is the exposed crest of the undersea Macquarie Ridge, raised to its present position where the Indo-Australian tectonic plate meets the Pacific plate. It is a site of major geoconservation significance, being the only place on earth where rocks from the earth&rsquo;s mantle (6 km below the ocean floor) are being actively exposed above sea-level. These unique exposures include excellent examples of pillow basalts and other extrusive rocks.</p>","<p>The Committee decided that the site provides an unique example of exposure of the ocean crust above the sea level and of geological evidence for sea-floor spreading, and is an exposure of the oceanic plate boundary between the Pacific and Australian/Indian plates, exposed with active faults and ongoing tectonic movements.</p>",1997,747,629
Australia,Fraser Island,Natural,N,N,N,N,"<p>Fraser Island lies just off the east coast of Australia. At 122 km long, it is the largest sand island in the world. Majestic remnants of tall rainforest growing on sand and half the world&rsquo;s perched freshwater dune lakes are found inland from the beach. The combination of shifting sand-dunes, tropical rainforests and lakes makes it an exceptional site.</p>",,1992,748,630
Australia,Australian Fossil Mammal Sites (Riversleigh / Naracoorte),Natural,N,N,N,N,"<p>Riversleigh and Naracoorte, situated in the north and south respectively of eastern Australia, are among the world&rsquo;s 10 greatest fossil sites. They are a superb illustration of the key stages of evolution of Australia&rsquo;s unique fauna.</p>",,1994,826,698
Australia,Greater Blue Mountains Area,Natural,Y,Y,Y,Y,"<p>The Greater Blue Mountains Area consists of 1.03 million ha of sandstone plateaux, escarpments and gorges dominated by temperate eucalypt forest. The site, comprised of eight protected areas, is noted for its representation of the evolutionary adaptation and diversification of the eucalypts in post-Gondwana isolation on the Australian continent. Ninety-one eucalypt taxa occur within the Greater Blue Mountains Area which is also outstanding for its exceptional expression of the structural and ecological diversity of the eucalypts associated with its wide range of habitats. The site provides significant representation of Australia's biodiversity with ten percent of the vascular flora as well as significant numbers of rare or threatened species, including endemic and evolutionary relict species, such as the Wollemi pine, which have persisted in highly-restricted microsites.</p>","<p><em>Criteria (ix) and (x):</em> Australia&rsquo;s eucalypt vegetation is worthy of recognition as of outstanding universal value, because of its adaptability and evolution in post-Gondwana isolation. The site contains a wide and balanced representation of eucalypt habitats from wet and dry sclerophyll, mallee heathlands, as well as localised swamps, wetlands, and grassland. 90 eucalypt taxa (13% of the global total) and representation of all four groups of eucalypts occur. There is also a high level of endemism with 114 endemic taxa found in the area as well as 120 nationally rare and threatened plant taxa. The site hosts several evolutionary relic species (Wollemia, Microstrobos, Acrophyllum) which have persisted in highly restricted microsites.</p>",2000,1071,917
Australia,Purnululu National Park,Natural,N,N,N,N,"<p>The 239,723 ha Purnululu National Park is located in the State of Western Australia. It contains the deeply dissected Bungle Bungle Range composed of Devonian-age quartz sandstone eroded over a period of 20 million years into a series of beehive-shaped towers or cones, whose steeply sloping surfaces are distinctly marked by regular horizontal bands of dark-grey cyanobacterial crust (single-celled photosynthetic organisms). These outstanding examples of cone karst owe their existence and uniqueness to several interacting geological, biological, erosional and climatic phenomena.</p>","<p><em>Criterion (viii):</em> Earth&rsquo;s history and geological features The claim to outstanding universal geological value is made for the Bungle Bungle Range. The Bungle Bungles are, by far, the most outstanding example of cone karst in sandstones anywhere in the world and owe their existence and uniqueness to several interacting geological, biological, erosional and climatic phenomena. The sandstone karst of PNP is of great scientific importance in demonstrating so clearly the process of cone karst formation on sandstone - a phenomenon recognised by geomorphologists only over the past 25 years and still incompletely understood, despite recently renewed interest and research. The Bungle Bungle Ranges of PNP also display to an exceptional degree evidence of geomorphic processes of dissolution, weathering and erosion in the evolution of landforms under a savannah climatic regime within an ancient, stable sedimentary landscape. IUCN considers that the nominated site meets this criterion.</p>

<p><em>Criterion (vii):</em> Superlative natural phenomena or natural beauty and aesthetic importance Although PNP has been widely known in Australia only during the past 20 years and it remains relatively inaccessible, it has become recognised internationally for its exceptional natural beauty. The prime scenic attraction is the extraordinary array of banded, beehive-shaped cone towers comprising the Bungle Bungle Range. These have become emblematic of the park and are internationally renowned among Australia&rsquo;s natural attractions. The dramatically sculptured structures, unrivalled in their scale, extent, grandeur and diversity of forms anywhere in the world, undergo remarkable seasonal variation in appearance, including striking colour transition following rain. The intricate maze of towers is accentuated by sinuous, narrow, sheer-sided gorges lined with majestic Livistona fan palms. These and the soaring cliffs up to 250 m high are cut by seasonal waterfalls and pools, creating the major tourist attractions in the park, with evocative names such as Echidna Chasm, and Frog Hole, Piccaninny and Cathedral Gorges. The diversity of landforms and ecosystems elsewhere in the park are representative of the larger region, and lack a unique aesthetic quality, but provide a sympathetic visual buffer for the massif. The powerful aesthetic experience of the Bungle Bungles has aroused huge interest among the public, and the ranges figure prominently in national and international advertising of Australia&rsquo;s tourist attractions, matching the prominence of the Uluru-Kata Tjuta National Park. Photographers and travel writers include the Bungle Bungles among the world&rsquo;s natural wonders, some describing them as Australia&rsquo;s equivalent of the Grand Canyon.</p>",2003,1272,1094
Australia,Royal Exhibition Building and Carlton Gardens,Cultural,N,N,N,N,"<p>The Royal Exhibition Building and its surrounding Carlton Gardens were designed for the great international exhibitions of 1880 and 1888 in Melbourne. The building and grounds were designed by Joseph Reed. The building is constructed of brick and timber, steel and slate. It combines elements from the Byzantine, Romanesque, Lombardic and Italian Renaissance styles. The property is typical of the international exhibition movement which saw over 50 exhibitions staged between 1851 and 1915 in venues including Paris, New York, Vienna, Calcutta, Kingston (Jamaica) and Santiago (Chile). All shared a common theme and aims: to chart material and moral progress through displays of industry from all nations.</p>","<p><em>Criterion (ii):</em> The Royal Exhibition Building and the surrounding Carlton Gardens, as the main extant survivors of a Palace of Industry and its setting, together reflect the global influence of the international exhibition movement of the 19th and early 20th centuries. The movement showcased technological innovation and change, which helped promote a rapid increase in industrialisation and international trade through the exchange of knowledge and ideas.</p>",2004,1730,1131
Australia,Australian Convict Sites,Cultural,Y,Y,N,N,"<p>The property includes a selection of eleven penal sites, among the thousands established by the British Empire on Australian soil in the 18<sup>th</sup> and 19<sup>th</sup> centuries. The sites are spread across Australia, from Fremantle in Western Australia to Kingston and Arthur's Vale on Norfolk Island in the east; and from areas around Sydney in New South Wales in the north, to sites located in Tasmania in the south. Around 166,000 men, women and children were sent to Australia over 80 years between 1787 and 1868, condemned by British justice to transportation to the convict colonies. Each of the sites had a specific purpose, in terms both of punitive imprisonment and of rehabilitation through forced labour to help build the colony. The Australian Convict Sites presents the best surviving examples of large-scale convict transportation and the colonial expansion of European powers through the presence and labour of convicts.</p>",,2010,1648,1306
Australia,Ningaloo Coast,Natural,N,N,N,N,"<p>The 604,500 hectare marine and terrestrial property of Ningaloo Coast, on the remote western coast of Australia, includes one of the longest near-shore reefs in the world. On land the site features an extensive karst system and network of underground caves and water courses. Annual gatherings of whale sharks occur at Ningaloo Coast, which is home to numerous marine species, among them a wealth of sea turtles. The terrestrial part of the site features subterranean water bodies with a substantial network of caves, conduits, and groundwater streams. They support a variety of rare species that contribute to the exceptional biodiversity of the marine and terrestrial site</p>",,2011,1763,1369
Austria,Historic Centre of the City of Salzburg,Cultural,Y,Y,Y,Y,"<p>Salzburg has managed to preserve an extraordinarily rich urban fabric, developed over the period from the Middle Ages to the 19th century when it was a city-state ruled by a prince-archbishop. Its Flamboyant Gothic art attracted many craftsmen and artists before the city became even better known through the work of the Italian architects Vincenzo Scamozzi and Santini Solari, to whom the centre of Salzburg owes much of its Baroque appearance. This meeting-point of northern and southern Europe perhaps sparked the genius of Salzburg&rsquo;s most famous son, Wolfgang Amadeus Mozart, whose name has been associated with the city ever since.</p>","<p>The Committee decided to inscribe the nominated property on the basis of cultural <em>criteria (ii), (iv) and (vi)</em> and considered that the site is of outstanding universal value being an important example of a European ecclesiastical city- state which preserves to a remarkable degree its dramatic townscape, its historically significant urban fabric and a large number of outstanding ecclesiastical and secular buildings from several centuries. It is also noteworthy for its associations with the arts, and in particular with music in the person of its famous son, Wolfgang Amadeus Mozart.</p>",1996,927,784
Austria,Semmering Railway,Cultural,N,N,N,N,"<p>The Semmering Railway, built over 41 km of high mountains between 1848 and 1854, is one of the greatest feats of civil engineering from this pioneering phase of railway building. The high standard of the tunnels, viaducts and other works has ensured the continuous use of the line up to the present day. It runs through a spectacular mountain landscape and there are many fine buildings designed for leisure activities along the way, built when the area was opened up due to the advent of the railway.</p>","<p><em>Criterion (ii):</em> The Semmering Railway represents an outstanding technological solution to a major physical problem in the construction of early railways.</p>

<p><em>Criterion (iv):</em> With the construction of the Semmering Railway, areas of great natural beauty became more easily accessible and as a result these were developed for residential and recreational use, creating a new form of cultural landscape.</p>",1998,928,785
